ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval
V1,0.619140625,0.0,36.333333333333336,0.67578125,0.0,5.482758620689655,0.6015625,0.0,30.333333333333332,0.9970703125,0.0,75.14285714285714,0.99609375,0.0,127.0,0.9921875,0.0,246.0,0.5859375,0.0,91.0,0.525390625,0.5,0.5918367346938775,0.9931640625,0.0,507.0
"V2, V3 & V4",0.796875,0.0,27.0,0.869140625,0.0,20.05263157894737,0.755859375,0.0,12.473684210526315,1.0,0.0,169.66666666666666,1.0,0.0,72.14285714285714,1.0,0.0,60.5,0.6416015625,0.0,25.181818181818183,0.7177734375,0.0,107.5,0.99609375,0.0,509.0
DorsalVisual,0.791015625,0.0,123.4,0.841796875,0.0,56.333333333333336,0.78515625,0.0,36.25,0.990234375,0.0,36.48148148148148,0.984375,0.0,23.761904761904763,0.99609375,0.0,32.875,0.626953125,0.0,22.09090909090909,0.7529296875,0.0,27.88888888888889,0.95703125,0.0,929.0
VentralVisual,0.7568359375,0.0,75.0,0.794921875,0.0,11.814814814814815,0.728515625,0.0,36.714285714285715,0.94140625,0.0,32.5,0.923828125,0.0,31.0,0.943359375,0.0,22.68421052631579,0.568359375,0.0,5.296296296296297,0.724609375,0.0,18.333333333333332,0.921875,0.0,66.23076923076923
MT+Complex,0.81640625,0.0,38.411764705882355,0.818359375,0.0,8.513513513513514,0.787109375,0.0,30.4,0.9921875,0.0,22.130434782608695,0.982421875,0.0,36.285714285714285,0.994140625,0.0,25.2,0.58203125,0.0,17.2,0.763671875,0.0,8.253731343283581,0.9833984375,0.0,69.28571428571429
Somatosensory & Motor,0.634765625,0.0,17.235294117647058,0.607421875,0.0,97.0,0.59765625,0.0,4.913043478260869,0.818359375,0.0,45.57142857142857,0.759765625,0.0,32.111111111111114,0.80078125,0.0,105.0,0.5224609375,0.0,1.967741935483871,0.568359375,0.0,7.571428571428571,0.7919921875,0.0,
Paracentral & MidCingulate,0.6201171875,0.0,8.310344827586206,0.607421875,0.0,135.0,0.607421875,0.0,47.666666666666664,0.806640625,0.0,15.55813953488372,0.765625,0.0,,0.798828125,0.0,6.0638297872340425,0.5205078125,0.0,12.142857142857142,0.5791015625,0.0,70.0,0.7529296875,0.0,13.578947368421053
Premotor,0.7431640625,0.0,43.5,0.759765625,0.0,11.956521739130435,0.744140625,0.0,29.444444444444443,0.9326171875,0.0,83.18181818181819,0.919921875,0.0,22.473684210526315,0.93359375,0.0,15.206896551724139,0.5908203125,0.0,8.090909090909092,0.65234375,0.0,26.333333333333332,0.91015625,0.0,78.81818181818181
PosteriorOpercular,0.5361328125,0.0,1.7878787878787878,0.5625,0.5,0.7183098591549296,0.537109375,0.0,7.666666666666667,0.7392578125,0.0,90.6,0.6796875,0.0,13.133333333333333,0.7265625,0.0,30.5,0.501953125,1.0,-2.0,0.5107421875,0.5,-0.2727272727272727,0.7138671875,0.0,11.923076923076923
EarlyAuditory,0.521484375,0.0,1.4210526315789473,0.517578125,0.5,0.7142857142857143,0.505859375,0.5,0.2222222222222222,0.666015625,0.0,85.5,0.6171875,0.0,8.857142857142858,0.677734375,0.0,197.0,0.501953125,1.0,-2.3333333333333335,0.4912109375,0.5,0.64,0.625,0.0,5.714285714285714
AuditoryAssociation,0.525390625,0.0,3.8333333333333335,0.474609375,0.5,-0.5882352941176471,0.5546875,0.0,1.1428571428571428,0.763671875,0.0,16.823529411764707,0.765625,0.0,27.4,0.751953125,0.0,140.0,0.4970703125,0.5,-0.5,0.5322265625,0.0,1.24,0.7294921875,0.0,
Insular & FrontoOpercular,0.517578125,0.0,1.8235294117647058,0.48828125,1.0,-5.4,0.576171875,0.0,5.631578947368421,0.736328125,0.0,31.75,0.7109375,0.0,15.0,0.73046875,0.0,11.11111111111111,0.509765625,0.5,1.0,0.5009765625,0.0,2.2,0.712890625,0.0,31.307692307692307
