ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
V1,0.5963541666666667,0.0,5.086989925403687,0.6822916666666667,0.0,6.597662667577313,0.5924479166666666,0.0,3.486155231663131,0.9967447916666667,0.0,26.900525106615177,0.9954427083333333,0.0,18.706565495555992,0.994140625,0.0,19.473661624557362,0.5944010416666667,0.0,5.217047895326175,0.515625,0.202,0.8398494837481882,0.9928385416666666,0.0,26.455329641838404,0.7291666666666666
"V2, V3 & V4",0.7825520833333333,0.0,15.158929213797153,0.853515625,0.0,13.157127459139236,0.7591145833333333,0.0,9.7309696936123,1.0,0.0,27.534283568699706,1.0,0.0,20.22020950598009,1.0,0.0,19.522887204740336,0.62890625,0.0,7.044231495712924,0.7268880208333333,0.0,13.10739404689672,0.99609375,0.0,27.452690831100757,0.8038194444444443
DorsalVisual,0.7952473958333333,0.0,15.433413906240254,0.8359375,0.0,13.026931378220265,0.77734375,0.0,10.495747813028846,0.9899088541666667,0.0,25.650193157103658,0.9817708333333333,0.0,18.834325170528295,0.99609375,0.0,19.525349417995354,0.6315104166666667,0.0,7.051422851249642,0.7333984375,0.0,12.962815222708956,0.9638671875,0.0,26.72196290216852,0.8055555555555557
VentralVisual,0.7581380208333333,0.0,14.228438806012521,0.7923177083333333,0.0,10.598769994888421,0.7213541666666667,0.0,8.146976629774052,0.9580078125,0.0,25.034889603331553,0.94140625,0.0,16.321215651594,0.9518229166666667,0.0,17.253841279191462,0.5638020833333333,0.0,3.6034342676841575,0.7161458333333334,0.0,12.313858425322909,0.9326171875,0.0,23.99238378065938,0.7599826388888888
MT+Complex,0.8248697916666667,0.0,17.982371330679047,0.8274739583333333,0.0,12.192068121421944,0.7942708333333333,0.0,11.385304146694235,0.994140625,0.0,27.165285798361904,0.986328125,0.0,18.163829008083784,0.994140625,0.0,19.330452389129128,0.5751953125,0.0,4.2778847927078045,0.7744140625,0.0,15.34416339546862,0.9850260416666666,0.0,26.571570570017876,0.798068576388889
Somatosensory & Motor,0.6217447916666667,0.0,6.626213221546331,0.6100260416666667,0.0,4.300642433780276,0.6106770833333333,0.0,4.163036325797996,0.822265625,0.0,17.649625926078734,0.7630208333333333,0.0,9.756029912674633,0.7936197916666667,0.0,10.746546100224178,0.5237630208333333,0.098,1.2866697921064532,0.5712890625,0.0,3.6761073796717767,0.7903645833333334,0.0,15.349810112161482,0.6559244791666666
Paracentral & MidCingulate,0.5895182291666666,0.0,4.445691634581536,0.5872395833333333,0.001,3.281927795166204,0.58984375,0.0,3.4164821748816783,0.8157552083333333,0.0,17.638046559747245,0.7884114583333333,0.0,11.187461722202974,0.7955729166666667,0.0,10.855420916078248,0.5094401041666666,0.293,0.5067483766429283,0.5677083333333333,0.0,3.595434339525339,0.76171875,0.0,14.251624076597244,0.6382378472222222
Premotor,0.7392578125,0.0,12.33435371707417,0.763671875,0.0,9.832203052986495,0.7421875,0.0,9.147467579435157,0.9378255208333333,0.0,24.145568360752105,0.9153645833333333,0.0,15.382888272771968,0.9407552083333333,0.0,16.4320944984994,0.5960286458333333,0.0,5.145971703697201,0.6611328125,0.0,8.665890875526957,0.91015625,0.0,23.900288530950103,0.7577039930555555
PosteriorOpercular,0.5543619791666667,0.002,2.934064891241506,0.5774739583333333,0.003,2.9445757931768326,0.53515625,0.094,1.3122178868988306,0.7366536458333333,0.0,13.051612757712693,0.6731770833333333,0.0,6.631537650795121,0.732421875,0.0,8.87212829367767,0.5179036458333333,0.162,0.9755898119263966,0.5325520833333334,0.035,1.75751543842962,0.6998697916666666,0.0,11.252337181042904,0.6029730902777778
EarlyAuditory,0.5065104166666667,0.378,0.302126851717718,0.5169270833333333,0.262,0.6738840685074642,0.5104166666666667,0.364,0.35409964651930403,0.6715494791666667,0.0,9.11941669247791,0.6217447916666667,0.0,4.373512524839453,0.6673177083333333,0.0,6.518835328128721,0.5052083333333334,0.386,0.3154173571585879,0.48111979166666663,0.838,-0.9912654321489116,0.6412760416666667,0.0,7.83330804498098,0.5610894097222223
