ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
V1,0.6689453125,0.0,9.377746791551271,0.703125,0.0,7.604319127887728,0.6640625,0.0,6.279268332487929,0.9873046875,0.0,27.045306857318884,0.978515625,0.0,18.419589627147772,0.98046875,0.0,19.023993209913513,0.5771484375,0.0,4.330683911053859,0.572265625,0.0,4.248712811552364,0.974609375,0.0,26.085670384786816,0.7444661458333334
"V2, V3 & V4",0.783203125,0.0,15.095378714623804,0.79296875,0.0,10.973608399476769,0.8046875,0.0,11.968233709987294,0.998046875,0.0,26.20947318451974,0.998046875,0.0,19.287473102899696,0.99609375,0.0,18.988387821975326,0.7158203125,0.0,12.124149045835525,0.6669921875,0.0,9.496546896622657,0.99609375,0.0,27.007116690921517,0.8323567708333334
DorsalVisual,0.7490234375,0.0,13.32733287137676,0.763671875,0.0,10.539139801983717,0.75390625,0.0,10.072443040495587,0.9638671875,0.0,23.75504912801588,0.958984375,0.0,18.072684729314123,0.9609375,0.0,17.845817363188324,0.6396484375,0.0,7.30679610292517,0.6689453125,0.0,9.728093370121778,0.93359375,0.0,25.191911464451607,0.7841796875
VentralVisual,0.7470703125,0.0,13.310006308571927,0.798828125,0.0,11.004205252803573,0.7578125,0.0,9.520987584790376,0.99609375,0.0,27.208911022316713,0.98828125,0.0,18.783165920687342,0.98828125,0.0,18.033651256825063,0.623046875,0.0,6.8105584366432,0.6884765625,0.0,10.576839659505332,0.9912109375,0.0,26.65548699900097,0.7887369791666666
MT+Complex,0.736328125,0.0,12.508344208200738,0.76953125,0.0,10.469930871836263,0.716796875,0.0,8.454656080078495,0.9775390625,0.0,26.635555701392814,0.974609375,0.0,18.45973797741044,0.96484375,0.0,18.702648748839824,0.6005859375,0.0,5.472274738171856,0.6923828125,0.0,11.258181132433483,0.96875,0.0,27.430990624078653,0.771484375
Somatosensory & Motor,0.5712890625,0.0,3.8330796310560196,0.515625,0.304,0.5484241772397246,0.619140625,0.0,4.3315780089560665,0.85546875,0.0,19.891885564280468,0.8515625,0.0,13.568360566531645,0.818359375,0.0,12.272747956083856,0.517578125,0.169,0.9697070671140938,0.5126953125,0.239,0.7152614967980081,0.8203125,0.0,18.05465782441444,0.6481119791666666
Paracentral & MidCingulate,0.578125,0.0,4.319085144358685,0.587890625,0.001,3.245139931289586,0.623046875,0.0,4.700301466113618,0.869140625,0.0,19.617390269926393,0.87109375,0.0,13.900571049059343,0.849609375,0.0,12.856398527810876,0.5322265625,0.048,1.7545523302252422,0.541015625,0.011,2.320480100614568,0.833984375,0.0,18.43234435529704,0.6598307291666666
Premotor,0.6787109375,0.0,9.692175597723882,0.7109375,0.0,7.588485050035598,0.673828125,0.0,6.428490882782577,0.9208984375,0.0,23.729421027686623,0.908203125,0.0,15.113718586612013,0.896484375,0.0,15.191457904595135,0.578125,0.0,4.409634423214888,0.6318359375,0.0,7.519361491964906,0.908203125,0.0,22.28574469076631,0.7259114583333334
PosteriorOpercular,0.5390625,0.016,2.1282763695317235,0.51953125,0.259,0.6997958471199739,0.55859375,0.015,2.2296695559615425,0.7509765625,0.0,13.362204955054208,0.763671875,0.0,9.996983955160267,0.720703125,0.0,8.270631325948283,0.5107421875,0.302,0.5165122663066626,0.5224609375,0.12,1.1839624492663352,0.724609375,0.0,12.412649008288152,0.6002604166666666
EarlyAuditory,0.5078125,0.354,0.3952904498996745,0.51953125,0.232,0.7967259955715754,0.50390625,0.444,0.16546407100789515,0.703125,0.0,10.642907434758415,0.724609375,0.0,8.771070885066047,0.66796875,0.0,6.418328553352077,0.4912109375,0.683,-0.4381474028149976,0.521484375,0.124,1.188069746348984,0.697265625,0.0,11.393938180278017,0.5673828125
AuditoryAssociation,0.6474609375,0.0,7.968155529371043,0.634765625,0.0,5.142173285237299,0.640625,0.0,5.396813140616379,0.8828125,0.0,20.823630075185687,0.87109375,0.0,13.885369734414587,0.8671875,0.0,14.03573145811478,0.5546875,0.002,3.063228557281253,0.5927734375,0.0,5.079691054475107,0.861328125,0.0,20.520259746738247,0.6949869791666666
Insular & FrontoOpercular,0.583984375,0.0,4.739618484554099,0.58203125,0.001,3.0977956240891267,0.513671875,0.321,0.4933951104203652,0.798828125,0.0,16.320286691990944,0.794921875,0.0,11.186395774411789,0.763671875,0.0,9.954532771520725,0.501953125,0.464,0.12761135451804756,0.5439453125,0.015,2.329230236369319,0.7783203125,0.0,15.343369315816595,0.6282552083333334
MedialTemporal,0.685546875,0.0,9.854574905795387,0.734375,0.0,8.591195085554334,0.705078125,0.0,7.497458422129909,0.8193359375,0.0,16.827193467866195,0.810546875,0.0,11.550822956355653,0.791015625,0.0,10.869755686549189,0.521484375,0.138,1.0958765166817617,0.6494140625,0.0,8.231431207645208,0.7861328125,0.0,15.639213208029249,0.6754557291666666
LateralTemporal,0.7041015625,0.0,10.835674266643782,0.705078125,0.0,7.623054972323797,0.71484375,0.0,8.041256179585377,0.9091796875,0.0,21.70803602102589,0.90625,0.0,15.889946995589455,0.900390625,0.0,15.047903284047862,0.572265625,0.0,3.7803022365203858,0.6689453125,0.0,9.340461822693163,0.8603515625,0.0,19.58131059527472,0.728515625
TPOJ,0.6904296875,0.0,9.71116641551206,0.689453125,0.0,7.153549282727603,0.697265625,0.0,7.39880788536442,0.9453125,0.0,23.79737017586507,0.939453125,0.0,16.436163586270695,0.923828125,0.0,16.136772968077313,0.5634765625,0.0,3.361809407332195,0.619140625,0.0,6.594620255358061,0.91796875,0.0,22.630995381039856,0.7330729166666666
SuperiorParietal,0.7724609375,0.0,14.537221976695184,0.8046875,0.0,11.261857219260984,0.775390625,0.0,10.458369144446605,0.9501953125,0.0,24.910330016622275,0.947265625,0.0,17.29924874209435,0.935546875,0.0,16.665591808150058,0.6357421875,0.0,7.068495333071114,0.6650390625,0.0,8.965659855191078,0.9287109375,0.0,24.12202397460588,0.7861328125
InferiorParietal,0.7529296875,0.0,13.841527371117474,0.77734375,0.0,10.266885976614995,0.78125,0.0,10.635846509058238,0.9677734375,0.0,26.69721882191114,0.953125,0.0,17.214931192118033,0.95703125,0.0,17.545815437196158,0.609375,0.0,6.164343978356485,0.6904296875,0.0,10.473733369642964,0.935546875,0.0,24.68045633748787,0.7766927083333334
PosteriorCingulate,0.7568359375,0.0,13.77195369164628,0.8203125,0.0,12.114451515789074,0.744140625,0.0,9.280761862002558,0.9208984375,0.0,22.80278725680974,0.923828125,0.0,15.654044117054491,0.88671875,0.0,14.73533729013243,0.6025390625,0.0,5.617599548279188,0.67578125,0.0,9.463716581513506,0.8828125,0.0,21.0457721288683,0.7600911458333334
ACC & MPFC,0.685546875,0.0,10.232378050167107,0.69921875,0.0,7.2563251726950515,0.71875,0.0,7.8864045348440355,0.8232421875,0.0,17.495127232124553,0.849609375,0.0,13.334977202666494,0.78125,0.0,10.61934836859287,0.525390625,0.107,1.339877598111274,0.6396484375,0.0,7.5565714366934245,0.7900390625,0.0,16.461894124056993,0.6780598958333334
Orbital & PolarFrontal,0.634765625,0.0,7.140424479518842,0.599609375,0.001,3.780596612325659,0.69140625,0.0,7.213963427956329,0.837890625,0.0,18.437386404869805,0.833984375,0.0,12.726666306990243,0.7734375,0.0,10.39460440040406,0.5263671875,0.083,1.4287580756280647,0.625,0.0,7.011831447064938,0.814453125,0.0,16.81186816451773,0.6663411458333334
InferoirFrontal,0.7578125,0.0,14.202809791730425,0.818359375,0.0,12.394237321131275,0.724609375,0.0,8.807210867532714,0.9306640625,0.0,23.06095380630015,0.9453125,0.0,17.163109589481444,0.90234375,0.0,15.853837343720414,0.5849609375,0.0,4.73181721388604,0.6962890625,0.0,10.316092382292041,0.9189453125,0.0,23.295244371295368,0.7578125
DLPFC,0.6923828125,0.0,10.844155951694656,0.7109375,0.0,7.782014976208289,0.7109375,0.0,7.646599698611776,0.9365234375,0.0,23.854794722306767,0.9296875,0.0,15.783551507656771,0.904296875,0.0,15.854125445321468,0.60546875,0.0,5.555488502233958,0.634765625,0.0,7.439925115143225,0.8974609375,0.0,22.40370841912142,0.7447916666666666
