ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval
V1,0.5963541666666667,0.0,5.086724504839731,0.6822916666666667,0.0,6.592665289025911,0.5924479166666666,0.0,3.489768504771762,0.9967447916666667,0.0,26.889495549803133,0.9954427083333333,0.0,18.71851524787705,0.994140625,0.0,19.479463928516445,0.5944010416666667,0.0,5.216249500307338,0.515625,0.199,0.8399087906117424,0.9928385416666666,0.0,26.459685288430624
MST,0.4873046875,0.745,-0.6253273017942659,0.5169270833333334,0.267,0.604088629780361,0.5338541666666666,0.108,1.2482375657670497,0.8359375,0.0,16.090585286180307,0.80078125,0.0,11.00562139746284,0.83203125,0.0,12.214315046775564,0.5260416666666667,0.099,1.315670919814417,0.4700520833333333,0.952,-1.6153883820637045,0.7998046875,0.0,15.629116957163996
V6,0.5963541666666667,0.0,4.936786023625035,0.5904947916666667,0.001,3.25947118565524,0.5911458333333333,0.0,3.408911054622988,0.7669270833333333,0.0,13.294521031031564,0.6829427083333333,0.0,6.8636332150056125,0.7688802083333333,0.0,10.171583725192292,0.5289713541666667,0.065,1.52412431042128,0.5686848958333333,0.001,3.6371951632873922,0.7138671875,0.0,11.602793033070565
V2,0.7464192708333333,0.0,13.476718383533493,0.7838541666666667,0.0,10.52384725304336,0.685546875,0.0,7.1210479216440605,0.998046875,0.0,27.576182176766128,0.99609375,0.0,18.908550558470758,0.994140625,0.0,18.83559983136914,0.5771484375,0.0,4.303559454379755,0.6344401041666666,0.0,7.518194526312232,0.9970703125,0.0,28.086083143312745
V3,0.7350260416666667,0.0,12.290898310334114,0.7981770833333333,0.0,11.543805207788786,0.681640625,0.0,6.608185507783432,0.99609375,0.0,26.025990409845203,0.994140625,0.0,19.00753125942852,0.99609375,0.0,18.70929038889267,0.5826822916666667,0.001,4.541447553696401,0.7041015625,0.0,11.09029773419815,0.9892578125,0.0,27.213013183560683
V4,0.7353515625,0.0,12.438674026746549,0.8059895833333333,0.0,11.67480689439827,0.70703125,0.0,7.526125001207655,0.9951171875,0.0,26.607622929112978,0.9921875,0.0,19.117902033505615,0.9921875,0.0,18.185340931046376,0.6142578125,0.0,5.989585501081512,0.65625,0.0,8.645913846077455,0.9772135416666666,0.0,26.457930856153904
V8,0.5813802083333333,0.0,3.9518282381419576,0.65625,0.0,5.686632265579056,0.5208333333333333,0.225,0.774102187321987,0.8391927083333333,0.0,16.835194282788724,0.8001302083333333,0.0,10.452623413164867,0.8743489583333333,0.0,13.841401479425027,0.5250651041666667,0.104,1.2223504998716825,0.5462239583333334,0.003,2.540512837232706,0.7874348958333333,0.0,15.153376699911858
4,0.5517578125,0.003,2.7582065986401907,0.5338541666666667,0.106,1.2356921158929928,0.5462239583333333,0.054,1.7143662685355794,0.7141927083333333,0.0,11.68811153105022,0.6640625,0.0,6.363034640255796,0.693359375,0.0,7.061286982144672,0.486328125,0.784,-0.7455249690521613,0.5305989583333334,0.057,1.5849135078462515,0.6689453125,0.0,9.205807128914797
3b,0.5472005208333333,0.006,2.5250308234923793,0.533203125,0.107,1.2814323388340376,0.5130208333333333,0.322,0.4787254853367752,0.6884765625,0.0,9.747776245795928,0.7200520833333333,0.0,8.47017360519397,0.728515625,0.0,9.109277874883192,0.48209635416666663,0.814,-0.9146677821304862,0.5149739583333334,0.193,0.7941729643376022,0.6858723958333333,0.0,10.108081208172516
FEF,0.6715494791666667,0.0,9.079051957154627,0.6595052083333333,0.0,5.6073031033096035,0.6764322916666667,0.0,6.442085014460887,0.8297526041666667,0.0,17.230247084248646,0.7923177083333333,0.0,10.839288277926403,0.841796875,0.0,12.913562486931363,0.5524088541666667,0.005,2.6381259989859616,0.6295572916666667,0.0,6.805753199118164,0.8072916666666667,0.0,16.935712933158566
PEF,0.521484375,0.134,1.0632817537150605,0.5240885416666667,0.183,0.9341251532766549,0.5533854166666667,0.024,1.938214988396422,0.7509765625,0.0,12.236087278172135,0.7076822916666667,0.0,7.498704033103259,0.7779947916666667,0.0,10.286345574878531,0.5380859375,0.031,1.8807195527635778,0.5192057291666667,0.151,1.0249920725273196,0.728515625,0.0,11.6596603953423
