ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
V1,0.6845703125,0.0,9.787256504536117,0.728515625,0.0,8.913418838750749,0.666015625,0.0,6.3639149029939555,0.9169921875,0.0,22.6825500555672,0.916015625,0.0,15.56736664209256,0.89453125,0.0,15.22272054372296,0.5810546875,0.0,4.4503414269730115,0.623046875,0.0,6.943712169298618,0.8603515625,0.0,20.44316255273806,0.7275390625
MST,0.5185546875,0.178,1.0000490659659294,0.49609375,0.566,-0.136513741367336,0.53125,0.147,1.0782111167804285,0.6298828125,0.0,6.600626523344631,0.62109375,0.0,4.463082861795783,0.623046875,0.0,4.264566489878477,0.5361328125,0.026,1.8962066901548715,0.49609375,0.597,-0.19197102440772779,0.5888671875,0.0,4.526337497841438,0.5615234375
V6,0.53125,0.062,1.5611546444807778,0.537109375,0.094,1.3726629185191572,0.548828125,0.045,1.7098755906017449,0.6787109375,0.0,9.10011959607595,0.681640625,0.0,6.594519253060332,0.634765625,0.0,5.027470215077013,0.48828125,0.75,-0.6149997011028866,0.53125,0.058,1.6131164940942326,0.6533203125,0.0,8.234996481498401,0.5660807291666666
V2,0.662109375,0.0,8.729312441679589,0.681640625,0.0,7.200248290615813,0.677734375,0.0,6.904848641783227,0.939453125,0.0,23.356311499445663,0.916015625,0.0,15.884245648327905,0.931640625,0.0,17.487630663252833,0.5908203125,0.0,4.9657278991774465,0.6123046875,0.0,6.32912413893322,0.896484375,0.0,22.011457703070985,0.7307942708333334
V3,0.7294921875,0.0,11.79386738931095,0.720703125,0.0,8.199054290831796,0.73046875,0.0,8.576859344257333,0.916015625,0.0,21.095005194777528,0.916015625,0.0,15.923973305673652,0.90625,0.0,15.733658445038717,0.626953125,0.0,7.003542375807877,0.6376953125,0.0,7.61719536327412,0.8701171875,0.0,21.130344825985603,0.7574869791666666
V4,0.6962890625,0.0,10.519180147719918,0.6875,0.0,6.9862351016339685,0.724609375,0.0,8.477432424791106,0.8974609375,0.0,21.519704463178336,0.91015625,0.0,15.440665919175514,0.880859375,0.0,14.37738334527072,0.6630859375,0.0,8.815686480129157,0.5771484375,0.0,4.196075644587458,0.8544921875,0.0,19.822257400497623,0.7522786458333334
V8,0.6142578125,0.0,5.957386196485832,0.611328125,0.0,3.978644469821968,0.630859375,0.0,4.815520201998204,0.7763671875,0.0,14.275954528618751,0.77734375,0.0,10.274581179482547,0.76171875,0.0,9.68119471882696,0.5517578125,0.001,2.7301263555642157,0.5791015625,0.0,4.061793250775047,0.72265625,0.0,11.95146043511282,0.6474609375
4,0.4921875,0.675,-0.4064281460105129,0.5078125,0.404,0.3144532502261662,0.48828125,0.677,-0.45840296856869994,0.6357421875,0.0,7.500281612619122,0.611328125,0.0,4.328097413888863,0.619140625,0.0,4.721426197485183,0.5283203125,0.069,1.5310184807356535,0.486328125,0.785,-0.7767957636139511,0.6005859375,0.0,5.633079585113845,0.5520833333333334
3b,0.4873046875,0.752,-0.6646063603493743,0.505859375,0.454,0.19987047785199447,0.537109375,0.079,1.463130307170987,0.626953125,0.0,6.609746610961303,0.623046875,0.0,4.868779133215713,0.5546875,0.024,1.9982021444102265,0.5361328125,0.035,1.8170361811775027,0.4990234375,0.494,-0.04261289727820117,0.5986328125,0.0,5.466660280264827,0.5501302083333334
FEF,0.6025390625,0.0,5.25019201534451,0.603515625,0.0,3.686455158121092,0.59765625,0.0,3.567874099704306,0.69921875,0.0,10.74669629133207,0.685546875,0.0,6.95713266546112,0.671875,0.0,6.469881578762116,0.51953125,0.155,1.0299975572061801,0.59765625,0.0,5.186487605695551,0.68359375,0.0,9.769672591949504,0.6070963541666666
PEF,0.55859375,0.001,3.0624614115257405,0.501953125,0.5,0.08192723068317095,0.546875,0.047,1.682063622440121,0.7470703125,0.0,12.723048698667373,0.7421875,0.0,8.824169548121835,0.724609375,0.0,8.037167473916554,0.48828125,0.734,-0.570311333531016,0.55859375,0.001,3.054523419607292,0.744140625,0.0,13.2259774985191,0.5979817708333334
55b,0.515625,0.202,0.8667781982421509,0.54296875,0.06,1.5309194553932104,0.490234375,0.662,-0.3565515880662646,0.673828125,0.0,9.01144231237524,0.673828125,0.0,6.655144861936343,0.6484375,0.0,5.303049950431862,0.5048828125,0.413,0.26873879982880716,0.5244140625,0.106,1.2566045199010139,0.646484375,0.0,7.991937156611557,0.5647786458333334
V3A,0.6533203125,0.0,7.733616839527449,0.634765625,0.0,4.9383081844697,0.685546875,0.0,6.633472414844806,0.8310546875,0.0,17.02522469500371,0.818359375,0.0,11.809837529735796,0.814453125,0.0,11.774893105448053,0.58203125,0.0,4.301225879900474,0.6005859375,0.0,5.1906858990988445,0.7470703125,0.0,13.12289990729905,0.6888020833333334
RSC,0.5576171875,0.001,3.1878718836740063,0.54296875,0.057,1.626053405221549,0.576171875,0.002,2.8513207741574855,0.658203125,0.0,8.390386242274706,0.58984375,0.0,3.288007694189773,0.6171875,0.0,4.291736532965807,0.4912109375,0.661,-0.403143984444605,0.5546875,0.001,2.8983087444388445,0.625,0.0,6.7753259143150855,0.5690104166666666
POS2,0.59375,0.0,4.917366839994999,0.630859375,0.0,4.934990864099382,0.619140625,0.0,4.176470714161565,0.7666015625,0.0,14.54537818517866,0.748046875,0.0,9.581804990123459,0.740234375,0.0,9.053930715596016,0.5439453125,0.012,2.394857494868379,0.5966796875,0.0,4.977401630928465,0.701171875,0.0,11.150374446544184,0.634765625
V7,0.6171875,0.0,5.796242510667063,0.556640625,0.021,2.0937917311112244,0.658203125,0.0,5.699196678718141,0.6591796875,0.0,8.273502178460907,0.646484375,0.0,5.6073332961951685,0.669921875,0.0,6.332099837075627,0.521484375,0.141,1.1681478104933412,0.625,0.0,6.309723163861978,0.6015625,0.0,5.497977906657253,0.5992838541666666
IPS1,0.640625,0.0,7.551625981263279,0.615234375,0.0,4.249988416319945,0.70703125,0.0,7.284700391324739,0.7001953125,0.0,10.380867050232489,0.654296875,0.0,5.604199212450344,0.765625,0.0,9.367435472867339,0.568359375,0.0,3.511001238847571,0.5859375,0.0,4.5958864960899195,0.6396484375,0.0,7.352006433439529,0.6363932291666666
FFC,0.6806640625,0.0,9.2778356441788,0.66015625,0.0,6.000765863319482,0.65234375,0.0,5.655770997951878,0.755859375,0.0,13.5759234468649,0.724609375,0.0,8.559552769025592,0.71875,0.0,8.001935098530602,0.5146484375,0.244,0.7674091398225857,0.642578125,0.0,7.6854116959943255,0.724609375,0.0,12.278470153245426,0.650390625
V3B,0.607421875,0.0,5.507174905677609,0.55078125,0.037,1.8076107669722876,0.666015625,0.0,6.16044763796576,0.6376953125,0.0,6.8751917822581055,0.623046875,0.0,4.301771370073716,0.65625,0.0,5.499540370034902,0.5546875,0.001,2.7845646776338917,0.58203125,0.0,4.274162395784923,0.5830078125,0.0,4.220382370770493,0.5999348958333334
LO1,0.6328125,0.0,6.634304483467035,0.55859375,0.019,2.0366765304302623,0.7109375,0.0,7.444013919240609,0.728515625,0.0,11.731242628098109,0.705078125,0.0,7.440636995066178,0.736328125,0.0,8.495184040423242,0.552734375,0.008,2.71418474429951,0.599609375,0.0,5.208953676972144,0.66796875,0.0,8.978620821246023,0.6380208333333334
LO2,0.5947265625,0.0,4.629704913225336,0.587890625,0.002,3.110827803785676,0.611328125,0.0,3.9532842944951305,0.7451171875,0.0,12.789559720872116,0.705078125,0.0,7.481163571573627,0.73828125,0.0,8.758348964191175,0.53515625,0.042,1.7756572562191841,0.5771484375,0.0,3.9471251007725825,0.6962890625,0.0,10.72617901813316,0.625
