ROI,Face_Accuracy,Face_p_value,Face_z_value,Scene_Accuracy,Scene_p_value,Scene_z_value
V1,0.30013020833333337,0.012,2.2801111671346534,0.32096354166666663,0.0,3.2097690311429528
"V2, V3 & V4",0.28971354166666663,0.036,1.7998841993374273,0.4420572916666667,0.0,8.503235490693244
DorsalVisual,0.28645833333333337,0.045,1.690900400159863,0.396484375,0.0,6.889443021846117
VentralVisual,0.28841145833333337,0.056,1.781188118999601,0.36458333333333337,0.0,5.299554614996761
MT+Complex,0.263671875,0.276,0.6177393388249104,0.37239583333333337,0.0,5.580092998588748
Somatosensory & Motor,0.24674479166666666,0.568,-0.17343209716543687,0.23958333333333334,0.684,-0.5175510414490356
Paracentral & MidCingulate,0.23567708333333334,0.736,-0.6297068556450596,0.26302083333333337,0.27,0.5580396875907108
Premotor,0.25520833333333337,0.385,0.26448498629147854,0.27083333333333337,0.188,0.8997350212953781
PosteriorOpercular,0.23046875,0.795,-0.8548953105112314,0.26041666666666663,0.311,0.46450250561352757
EarlyAuditory,0.265625,0.228,0.7685798280964196,0.21158854166666669,0.956,-1.681436555780378
AuditoryAssociation,0.25520833333333337,0.411,0.23638837631542073,0.25455729166666663,0.42,0.2109342338702388
Insular & FrontoOpercular,0.25455729166666663,0.397,0.22761540756214352,0.26822916666666663,0.2,0.8392552950712734
MedialTemporal,0.275390625,0.113,1.218604601427013,0.30598958333333337,0.007,2.5498591050233848
LateralTemporal,0.26236979166666663,0.291,0.570133535214352,0.26236979166666663,0.278,0.5771176368416501
TPOJ,0.24088541666666669,0.645,-0.37747048516516385,0.26302083333333337,0.297,0.497905864975582
SuperiorParietal,0.27799479166666663,0.101,1.2811267975261478,0.369140625,0.0,5.250626974004687
InferiorParietal,0.27734375,0.107,1.2590968744301732,0.34895833333333337,0.0,4.43112989766562
PosteriorCingulate,0.26953125,0.192,0.8919745088616501,0.26432291666666663,0.285,0.5940003934405619
ACC & MPFC,0.28645833333333337,0.046,1.7189055381484122,0.251953125,0.437,0.12985616385748172
Orbital & PolarFrontal,0.259765625,0.33,0.4585424449958027,0.232421875,0.792,-0.8168662735244172
InferoirFrontal,0.2578125,0.364,0.35353993763423547,0.26627604166666663,0.222,0.7339253939409572
DLPFC,0.22330729166666669,0.882,-1.1710566438581678,0.255859375,0.401,0.24888618572701132
