ROI,Face_Accuracy,Face_p_value,Face_z_value,Scene_Accuracy,Scene_p_value,Scene_z_value
V1,0.3359375,0.001,4.0375668839843515,0.271484375,0.161,1.0136539599752157
"V2, V3 & V4",0.326171875,0.0,3.609357358839075,0.353515625,0.0,4.6119877664791185
DorsalVisual,0.298828125,0.011,2.2597878071298263,0.353515625,0.0,4.640880768698831
VentralVisual,0.25390625,0.429,0.20146822437448722,0.34375,0.0,4.220907153444163
MT+Complex,0.291015625,0.029,1.9223963098666852,0.31640625,0.001,2.983209369565013
Somatosensory & Motor,0.296875,0.01,2.1953562590699875,0.216796875,0.945,-1.5801838215242536
Paracentral & MidCingulate,0.283203125,0.07,1.5435668771211162,0.23046875,0.854,-0.9545897800802341
Premotor,0.248046875,0.531,-0.07309017617981926,0.263671875,0.296,0.5932550876050828
PosteriorOpercular,0.298828125,0.015,2.1866945490474894,0.232421875,0.811,-0.8010065252938136
EarlyAuditory,0.330078125,0.0,3.757349045210302,0.228515625,0.834,-0.9299126363550126
AuditoryAssociation,0.26953125,0.176,0.9077339655997881,0.205078125,0.987,-2.0121290429530356
Insular & FrontoOpercular,0.296875,0.016,2.13397585696975,0.2578125,0.354,0.37735030054352864
MedialTemporal,0.2421875,0.68,-0.3927603626978113,0.302734375,0.018,2.276637718545007
LateralTemporal,0.27734375,0.125,1.2043933696497946,0.26171875,0.318,0.5221230666442581
TPOJ,0.267578125,0.214,0.8379685427729805,0.267578125,0.213,0.8305767559067754
SuperiorParietal,0.314453125,0.004,3.0067937964997773,0.2890625,0.042,1.8053666059886473
InferiorParietal,0.29296875,0.03,2.0229167349026267,0.27734375,0.123,1.2147862203235436
PosteriorCingulate,0.287109375,0.059,1.654217562089673,0.265625,0.217,0.7855647605377499
ACC & MPFC,0.28125,0.084,1.429103722221279,0.25390625,0.463,0.14010553768416842
Orbital & PolarFrontal,0.2890625,0.044,1.7998011805250007,0.216796875,0.942,-1.492574104659148
InferoirFrontal,0.267578125,0.213,0.819164868961963,0.26953125,0.179,0.9724646337638602
DLPFC,0.296875,0.024,2.0967847139889537,0.265625,0.256,0.7368767330231044
