ROI,Race_Accuracy,Race_p_value,Race_z_value,Sex_Accuracy,Sex_p_value,Sex_z_value,Naturalness_Accuracy,Naturalness_p_value,Naturalness_z_value,Openness_Accuracy,Openness_p_value,Openness_z_value
V1,0.490234375,0.672,-0.3867270360725488,0.51171875,0.334,0.4173798928819134,0.529296875,0.139,1.1180151377813703,0.599609375,0.0,3.6310443455252517
"V2, V3 & V4",0.513671875,0.292,0.5522343878875107,0.4609375,0.94,-1.4979852173608617,0.548828125,0.036,1.8827525768997972,0.609375,0.001,4.237737679761317
DorsalVisual,0.53125,0.101,1.2460244216002898,0.501953125,0.521,0.04508112687673896,0.560546875,0.011,2.310179472116364,0.59765625,0.0,3.6521122287194543
VentralVisual,0.455078125,0.966,-1.746594448518303,0.515625,0.259,0.6627698078830786,0.537109375,0.091,1.3958108394500592,0.572265625,0.001,2.865068350306344
MT+Complex,0.486328125,0.686,-0.4666998284528144,0.49609375,0.576,-0.14207900372652055,0.552734375,0.032,2.0067951564647775,0.56640625,0.004,2.5721495922592794
Somatosensory & Motor,0.4921875,0.613,-0.26288129770363233,0.529296875,0.132,1.1468132191269742,0.490234375,0.685,-0.42343081340703786,0.578125,0.004,2.995432942886134
Paracentral & MidCingulate,0.53125,0.134,1.1367371388159042,0.5390625,0.062,1.5001803388108215,0.5234375,0.21,0.8609853897556807,0.552734375,0.023,2.1061953819521277
Premotor,0.5234375,0.207,0.8677373241745345,0.544921875,0.046,1.7158735934241145,0.46875,0.892,-1.1969967175829097,0.55078125,0.024,1.8653045069388183
PosteriorOpercular,0.490234375,0.644,-0.3304559508546444,0.484375,0.733,-0.5962460114962279,0.458984375,0.953,-1.5611471621185236,0.537109375,0.09,1.3286159830266384
EarlyAuditory,0.515625,0.288,0.5676192428398897,0.51953125,0.24,0.7352963978363882,0.4609375,0.937,-1.4650193398844331,0.552734375,0.02,2.0084845005782928
AuditoryAssociation,0.50390625,0.463,0.17561464977438723,0.541015625,0.072,1.528410872500804,0.423828125,0.999,-3.012595701285655,0.51953125,0.226,0.7548329947960211
Insular & FrontoOpercular,0.53125,0.136,1.1121085158004924,0.521484375,0.223,0.8184057814033584,0.4296875,0.997,-2.686546433319097,0.578125,0.001,3.0351112549465378
MedialTemporal,0.513671875,0.308,0.5380199464777815,0.544921875,0.044,1.7757524267853888,0.525390625,0.149,1.015630830398129,0.5859375,0.0,3.414688760599676
LateralTemporal,0.458984375,0.954,-1.6364293062152147,0.57421875,0.002,2.8093687183704605,0.494140625,0.595,-0.21940192232843247,0.529296875,0.136,1.0926076425138906
TPOJ,0.4921875,0.656,-0.362186103997968,0.50390625,0.445,0.19181408087638616,0.498046875,0.564,-0.05640810019801371,0.533203125,0.107,1.319773984600799
SuperiorParietal,0.517578125,0.265,0.6753140533072273,0.501953125,0.474,0.13492659097908266,0.533203125,0.093,1.3113619099611007,0.62890625,0.0,4.860242478024433
InferiorParietal,0.521484375,0.206,0.8309925531833681,0.5,0.52,-0.028198196336989237,0.525390625,0.166,0.9808475289938136,0.603515625,0.0,4.1073695797943195
PosteriorCingulate,0.5078125,0.415,0.25398865999934617,0.525390625,0.177,0.9538457099390897,0.552734375,0.02,2.008228141684582,0.580078125,0.003,2.9232924517491177
ACC & MPFC,0.50390625,0.462,0.15721477298977535,0.521484375,0.241,0.7315682435538695,0.521484375,0.225,0.7970030685476144,0.5234375,0.193,0.905316911730896
Orbital & PolarFrontal,0.56640625,0.002,2.575957969553914,0.443359375,0.986,-2.2261831646728076,0.5234375,0.221,0.8562311669639417,0.513671875,0.302,0.5434235245478599
InferoirFrontal,0.5078125,0.394,0.3116934760679158,0.525390625,0.212,0.8717309118055646,0.501953125,0.498,0.05295368885211334,0.568359375,0.004,2.5298496776425154
DLPFC,0.53125,0.122,1.1915209818637964,0.486328125,0.713,-0.5554311180020083,0.525390625,0.171,0.9376709099076284,0.564453125,0.008,2.4454398162935584
