ROI,Race_Accuracy,Race_p_value,Race_z_value,Sex_Accuracy,Sex_p_value,Sex_z_value,Naturalness_Accuracy,Naturalness_p_value,Naturalness_z_value,Openness_Accuracy,Openness_p_value,Openness_z_value
V1,0.47135416666666663,0.865,-1.1158001570143028,0.48307291666666663,0.757,-0.6614888508273429,0.5286458333333333,0.154,1.069861979277061,0.623046875,0.0,4.548988154950103
"V2, V3 & V4",0.515625,0.284,0.5577976339309808,0.4453125,0.977,-2.0664037753919033,0.5846354166666667,0.002,3.176546504361433,0.572265625,0.004,2.6832433714471637
DorsalVisual,0.5384114583333333,0.082,1.3886441368506586,0.484375,0.707,-0.5182118100983831,0.5787760416666667,0.0,2.90087548607777,0.6302083333333333,0.0,4.7796938004955285
VentralVisual,0.4713541666666667,0.865,-1.0819020380598456,0.4641927083333333,0.919,-1.3402331401954295,0.5501302083333333,0.028,1.9456280701792446,0.5703125,0.003,2.647369564472181
MT+Complex,0.4752604166666667,0.81,-0.8845732777777887,0.4856770833333333,0.676,-0.4677515997008807,0.568359375,0.002,2.664599512201791,0.5618489583333334,0.01,2.226300203429344
Somatosensory & Motor,0.447265625,0.979,-1.9965029305598356,0.5078125,0.401,0.2834211907644852,0.49609375,0.574,-0.1652744187555884,0.564453125,0.011,2.2973966205871235
Paracentral & MidCingulate,0.529296875,0.138,1.135704928164462,0.51953125,0.246,0.7137006061956912,0.5084635416666667,0.394,0.29748569766072674,0.5149739583333334,0.268,0.6310039983428508
Premotor,0.50390625,0.475,0.10926625009450261,0.5260416666666666,0.162,0.9914918499610486,0.5169270833333333,0.272,0.6091586290039237,0.5774739583333333,0.001,2.9357649057430364
PosteriorOpercular,0.4850260416666667,0.722,-0.5733275949532932,0.47200520833333337,0.831,-0.9710229138165742,0.47200520833333337,0.855,-1.1011034946226663,0.5247395833333334,0.166,0.9775372805845167
EarlyAuditory,0.5260416666666667,0.158,1.045239544881848,0.49153645833333337,0.62,-0.29066404974275506,0.49088541666666663,0.641,-0.37610002560300837,0.5305989583333334,0.15,1.1263240973219835
AuditoryAssociation,0.5162760416666667,0.267,0.61169904884707,0.5416666666666667,0.059,1.6142154789146763,0.4342447916666667,0.992,-2.4841860212572437,0.5325520833333333,0.114,1.1933702327282438
Insular & FrontoOpercular,0.5247395833333334,0.153,0.9758096765443287,0.5514322916666667,0.029,1.883405174253037,0.4837239583333333,0.737,-0.6142304244990872,0.546875,0.041,1.706683490906111
MedialTemporal,0.5065104166666666,0.398,0.25330787405650035,0.5266927083333334,0.166,0.9608879792156544,0.5266927083333334,0.172,1.0055236450272458,0.5520833333333334,0.019,2.0674923428175065
LateralTemporal,0.47591145833333337,0.807,-0.8964796508805747,0.5481770833333334,0.032,1.8870799308556554,0.4850260416666667,0.728,-0.6100999525268943,0.53125,0.125,1.177667571817271
TPOJ,0.51171875,0.338,0.4357941692477333,0.50390625,0.426,0.19854199849537235,0.4915364583333333,0.621,-0.2990123872125033,0.5345052083333334,0.093,1.297230739440036
SuperiorParietal,0.5162760416666667,0.281,0.581031839622068,0.5208333333333334,0.212,0.8006989925030393,0.5052083333333333,0.449,0.1515086724965112,0.625,0.0,4.551625396366201
InferiorParietal,0.5364583333333334,0.077,1.3949156479974236,0.4921875,0.624,-0.34281219368425697,0.4954427083333333,0.561,-0.1417524435237329,0.6028645833333333,0.0,3.854241736432473
PosteriorCingulate,0.5234375,0.212,0.8284562930570462,0.47786458333333337,0.783,-0.7847032782808258,0.53125,0.12,1.2387603600873445,0.5813802083333334,0.0,3.0023750910426084
ACC & MPFC,0.509765625,0.356,0.3726832859508185,0.5247395833333334,0.175,0.9455636532682345,0.525390625,0.172,0.9526114755714328,0.5364583333333334,0.076,1.396326269060257
Orbital & PolarFrontal,0.5598958333333333,0.011,2.2931856201278387,0.458984375,0.944,-1.555568258907392,0.5078125,0.384,0.2912833890473446,0.494140625,0.592,-0.2230923394423004
InferoirFrontal,0.48177083333333337,0.756,-0.6798956640739247,0.5162760416666666,0.282,0.6181119862814434,0.5052083333333333,0.42,0.20156219531386294,0.5891927083333333,0.0,3.4599676589049158
DLPFC,0.5162760416666667,0.27,0.6422294258667038,0.5227864583333334,0.199,0.8134262065205535,0.4811197916666667,0.78,-0.7369337119908097,0.5651041666666667,0.01,2.385849929107933
