ROI,mean,ci_lo,ci_hi,n_subj
Medial Temporal,-0.899584610373214,-1.665642212815091,-0.38549885164115427,8
Auditory Association,-0.5872286105066062,-0.8697737689075451,-0.2836668284664117,8
Lateral Temporal,-0.5277553284127992,-0.8158691898383106,-0.25551907886935865,8
Paracentral / Mid Cingulate,-0.5124941915564541,-0.8493319440369977,-0.19137579632043716,8
Orbital / Polar Frontal,-0.3590035239610722,-0.6534138646731213,-0.04230569290505355,8
Ventral Stream Visual,-0.3073811669408167,-0.43980778137344123,-0.16227350102965668,8
Premotor,-0.2647489943491139,-0.553332017589525,0.04119753860448015,8
MT+ Complex,-0.2521387965651646,-0.4768130295100701,-0.00023169612977483287,8
Inferior Parietal,-0.24985959145470868,-0.3974199682806069,-0.08045776906526364,8
Inferior Frontal,-0.24109642759551866,-0.4973840572823745,0.1685318592099228,8
Superior Parietal,-0.18033697387866066,-0.388055790329437,0.027829497778691852,8
Posterior Cingulate,-0.17237403729141826,-0.47792247641563657,0.1916014339631451,8
Temporo-Parieto-Occipital Junction,-0.14701414075671596,-0.37819233673432967,0.11742546881949757,8
DorsoLateral Prefrontal,-0.04380490522614089,-0.4839757225790916,0.49827236166792027,8
Dorsal Stream Visual,-0.023127951644625527,-0.28027124059373515,0.2783514219054387,8
Early Visual,0.08567862622775109,-0.15419188309085718,0.31607067102347336,8
Anterior Cingulate / Medial Prefrontal,0.2495052133260509,-0.591868434025673,1.8073947473950722,8
Somatosensory / Motor,0.41937861574981783,-0.13684520534479155,1.0502813404930544,8
Primary Visual,0.6016164149252718,0.21676302320122617,1.038753864595134,8
