TrialNumber,Cue,FaceCategory,FaceExemplar,SceneCategory,SceneExemplar,ITI,TestPresence,FaceChange,SceneChange,Response,ReactionTime
1,1,2,10,4,1,4,0,NaN,NaN,NaN,NaN
2,2,4,67,1,10,7,1,90,10,NaN,NaN
3,2,1,82,2,23,6,0,NaN,NaN,NaN,NaN
4,2,4,92,3,22,6,0,NaN,NaN,NaN,NaN
5,1,3,26,3,38,4,0,NaN,NaN,NaN,NaN
6,1,3,39,1,42,5,1,39,42,NaN,NaN
7,1,4,9,2,22,4,0,NaN,NaN,NaN,NaN
8,2,3,28,2,10,7,1,28,68,NaN,NaN
9,1,2,92,2,48,5,1,92,43,NaN,NaN
10,1,1,23,3,29,5,1,15,36,NaN,NaN
11,1,1,83,1,65,4,0,NaN,NaN,NaN,NaN
12,2,3,83,4,2,6,0,NaN,NaN,NaN,NaN
13,2,2,45,1,48,6,0,NaN,NaN,NaN,NaN
14,2,1,58,4,52,7,1,34,1,NaN,NaN
15,1,4,90,4,7,5,1,90,7,NaN,NaN
16,2,2,71,3,40,7,1,16,40,NaN,NaN
17,1,2,16,1,31,4,0,NaN,NaN,NaN,NaN
18,1,3,46,2,7,5,1,33,7,NaN,NaN
19,1,4,32,3,4,4,0,NaN,NaN,NaN,NaN
20,2,4,41,2,31,7,0,NaN,NaN,NaN,NaN
21,2,1,48,3,35,6,1,48,44,NaN,NaN
22,1,2,2,3,58,5,1,10,40,NaN,NaN
23,1,4,76,1,44,5,1,76,44,NaN,NaN
24,2,2,1,4,31,7,0,NaN,NaN,NaN,NaN
25,2,4,20,4,3,6,1,4,64,NaN,NaN
26,1,3,12,4,43,4,0,NaN,NaN,NaN,NaN
27,2,3,42,3,45,7,0,NaN,NaN,NaN,NaN
28,2,3,70,1,20,6,1,70,20,NaN,NaN
29,1,1,21,2,27,4,0,NaN,NaN,NaN,NaN
30,2,1,20,1,35,7,0,NaN,NaN,NaN,NaN
31,1,1,62,4,12,5,1,62,35,NaN,NaN
32,2,2,20,2,62,6,1,77,62,NaN,NaN
33,1,4,41,4,31,4,1,34,31,NaN,NaN
34,2,1,62,2,7,7,0,NaN,NaN,NaN,NaN
35,2,3,46,4,12,7,0,NaN,NaN,NaN,NaN
36,1,2,20,4,3,5,0,NaN,NaN,NaN,NaN
37,2,1,21,4,43,6,1,21,43,NaN,NaN
38,1,2,1,2,31,4,1,1,66,NaN,NaN
39,2,3,12,2,27,6,1,12,53,NaN,NaN
40,2,4,76,3,58,7,0,NaN,NaN,NaN,NaN
41,2,2,16,3,4,6,1,66,61,NaN,NaN
42,1,1,48,1,20,5,0,NaN,NaN,NaN,NaN
43,2,4,32,1,31,6,1,31,31,NaN,NaN
44,1,1,20,3,45,4,1,48,45,NaN,NaN
45,1,3,70,3,35,5,0,NaN,NaN,NaN,NaN
46,1,4,20,2,62,5,0,NaN,NaN,NaN,NaN
47,1,3,42,1,35,4,1,42,52,NaN,NaN
48,2,2,2,1,44,7,0,NaN,NaN,NaN,NaN
49,1,3,83,2,23,4,1,87,23,NaN,NaN
50,2,3,39,3,29,6,0,NaN,NaN,NaN,NaN
51,2,4,9,4,1,7,1,54,1,NaN,NaN
52,1,4,92,1,48,4,1,28,61,NaN,NaN
53,2,3,26,1,65,7,1,26,25,NaN,NaN
54,2,1,23,1,42,6,0,NaN,NaN,NaN,NaN
55,2,2,10,2,22,7,1,10,22,NaN,NaN
56,1,1,82,4,2,4,1,82,38,NaN,NaN
57,1,2,45,3,22,4,1,6,22,NaN,NaN
58,1,4,67,3,40,5,0,NaN,NaN,NaN,NaN
59,2,1,83,3,38,7,1,83,3,NaN,NaN
60,1,3,28,4,52,5,0,NaN,NaN,NaN,NaN
61,2,4,90,2,48,6,0,NaN,NaN,NaN,NaN
62,2,2,92,4,7,6,0,NaN,NaN,NaN,NaN
63,1,1,58,2,10,5,0,NaN,NaN,NaN,NaN
64,1,2,71,1,10,5,0,NaN,NaN,NaN,NaN
65,2,2,1,3,45,5,0,NaN,NaN,NaN,NaN
66,1,1,82,3,22,7,0,NaN,NaN,NaN,NaN
67,2,3,42,2,31,5,0,NaN,NaN,NaN,NaN
68,2,3,70,4,3,4,1,50,22,NaN,NaN
